product_name,category,current_price,rating,image_url,product_url,description,platform,price_day_1,price_day_2,price_day_3,price_day_4,price_day_5,price_day_6,price_day_7,price_day_8,price_day_9,price_day_10,future_price
Apple Redmi Note 4GB/1024GB 120Hz (OPT000001),Mobiles,33680.72,4.7,https://cdn.opticart.example/images/mobiles/1.jpg,https://www.amazon.in/dp/OPT000001?tag=opticart,"Apple Redmi Note 4GB/1024GB 120Hz (OPT000001) by Apple. Category: Mobiles. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,33242.9,33259.1,33626.62,33907.31,34043.59,34333.64,34537.87,34170.6,33760.9,33481.41,33010.99
Dell IdeaPad i5 12GB/512GB Student (OPT000002),Laptops,160419.07,4.8,https://cdn.opticart.example/images/laptops/2.jpg,https://www.amazon.in/dp/OPT000002?tag=opticart,"Dell IdeaPad i5 12GB/512GB Student (OPT000002) by Dell. Category: Laptops. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,159164.23,159242.13,158033.31,151812.38,152015.94,149309.01,151771.45,153748.8,155244.12,152919.21,152850.5
Nike Sneakers Skinny Denim (OPT000003),Fashion,14951.9,4.7,https://cdn.opticart.example/images/fashion/3.jpg,https://www.amazon.in/dp/OPT000003?tag=opticart,"Nike Sneakers Skinny Denim (OPT000003) by Nike. Category: Fashion. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,14795.4,14631.83,14390.49,14732.24,14883.55,14936.03,14852.64,14970.62,15249.5,15361.59,15808.72
Sony Soundbar 4K (OPT000004),Electronics,70009.05,3.8,https://cdn.opticart.example/images/electronics/4.jpg,https://www.amazon.in/dp/OPT000004?tag=opticart,"Sony Soundbar 4K (OPT000004) by Sony. Category: Electronics. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,68119.31,68669.66,68375.05,67679.03,63856.28,64470.91,64567.04,64276.36,64169.89,64625.7,62177.31
Samsung Microwave Inverter (OPT000005),Home Appliances,16898.09,4.1,https://cdn.opticart.example/images/home-appliances/5.jpg,https://www.amazon.in/dp/OPT000005?tag=opticart,"Samsung Microwave Inverter (OPT000005) by Samsung. Category: Home Appliances. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,17462.56,17967.31,17769.32,18281.76,18239.64,18317.03,18307.76,18319.41,18105.83,18581.42,19048.54
Ikigai - Paperback (OPT000006),Books,1317.55,4.1,https://cdn.opticart.example/images/books/6.jpg,https://www.amazon.in/dp/OPT000006?tag=opticart,"Ikigai - Paperback (OPT000006) by Bloomsbury. Category: Books. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,1346.96,1331.66,1350.16,1329.91,1317.88,1337.43,1349.78,1345.64,1317.41,1324.43,1322.61
Nykaa Face Wash SPF 50 (OPT000007),Beauty,2145.53,4.1,https://cdn.opticart.example/images/beauty/7.jpg,https://www.amazon.in/dp/OPT000007?tag=opticart,"Nykaa Face Wash SPF 50 (OPT000007) by Nykaa. Category: Beauty. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,2123.81,2103.33,2146.3,2111.45,2102.73,2045.44,2052.7,2044.74,2061.72,2060.92,2014.39
HomeTown Bed Ergonomic (OPT000008),Furniture,36078.26,4.2,https://cdn.opticart.example/images/furniture/8.jpg,https://www.amazon.in/dp/OPT000008?tag=opticart,"HomeTown Bed Ergonomic (OPT000008) by HomeTown. Category: Furniture. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,36960.46,37085.82,37542.6,36923.03,37012.51,37684.26,38763.25,39740.03,39340.11,39486.32,40801.32
Asus Gaming Headset RGB (OPT000009),Gaming,123174.51,3.5,https://cdn.opticart.example/images/gaming/9.jpg,https://www.amazon.in/dp/OPT000009?tag=opticart,"Asus Gaming Headset RGB (OPT000009) by Asus. Category: Gaming. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,124617.63,121449.07,119317.55,117290.71,116562.19,117032.56,118248.89,116370.28,117602.59,117724.46,113413.72
Tata Atta 1kg (OPT000010),Groceries,939.68,4.1,https://cdn.opticart.example/images/groceries/10.jpg,https://www.amazon.in/dp/OPT000010?tag=opticart,"Tata Atta 1kg (OPT000010) by Tata. Category: Groceries. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,985.9,997.05,970.33,948.59,945.56,956.96,936.47,935.53,957.13,917.86,882.34
