product_name,category,current_price,rating,image_url,product_url,description,platform,price_day_1,price_day_2,price_day_3,price_day_4,price_day_5,price_day_6,price_day_7,price_day_8,price_day_9,price_day_10,future_price
Apple iPhone 13 6GB/256GB AMOLED (OPT000001),Mobiles,23326.43,3.9,https://loremflickr.com/600/600/smartphone?lock=1,https://www.amazon.in/dp/OPT000001?tag=opticart,"Apple iPhone 13 6GB/256GB AMOLED (OPT000001) by Apple. Category: Mobiles. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,23599.52,23466.0,23943.32,24199.21,23972.5,24020.94,24148.86,23818.77,23296.62,23980.79,24515.48
Apple MacBook Air M2 M3 16GB/256GB (OPT000002),Laptops,54139.87,4.0,https://loremflickr.com/600/600/laptop?lock=2,https://www.amazon.in/dp/OPT000002?tag=opticart,"Apple MacBook Air M2 M3 16GB/256GB (OPT000002) by Apple. Category: Laptops. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,55561.52,55536.59,57163.62,56855.9,58214.52,58315.05,57863.45,56884.02,56755.15,57966.86,59398.59
Adidas Jeans Oversized Polyester (OPT000003),Fashion,11848.11,4.3,https://loremflickr.com/600/600/jeans?lock=3,https://www.amazon.in/dp/OPT000003?tag=opticart,"Adidas Jeans Oversized Polyester (OPT000003) by Adidas. Category: Fashion. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,11426.14,11186.33,11178.69,11094.13,10728.1,10595.86,10515.87,10331.76,10333.82,10497.69,10177.74
JBL Toner Cartridge 4K (OPT000004),Electronics,62693.46,4.0,https://loremflickr.com/600/600/printer?lock=4,https://www.amazon.in/dp/OPT000004?tag=opticart,"JBL Toner Cartridge 4K (OPT000004) by JBL. Category: Electronics. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,61444.38,60829.46,60417.27,60112.07,61079.08,61555.3,60630.86,60131.77,59859.49,61012.25,60662.33
LG Air Conditioner 8kg Frost Free (OPT000005),Home Appliances,73143.11,4.2,https://loremflickr.com/600/600/air-conditioner?lock=5,https://www.amazon.in/dp/OPT000005?tag=opticart,"LG Air Conditioner 8kg Frost Free (OPT000005) by LG. Category: Home Appliances. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,71969.64,73337.03,71987.4,73285.93,71292.89,71312.84,71916.76,73233.37,74198.04,74858.0,76947.18
Atomic Habits (Self-Help) (OPT000006),Books,760.58,3.9,https://loremflickr.com/600/600/book?lock=6,https://www.amazon.in/dp/OPT000006?tag=opticart,"Atomic Habits (Self-Help) (OPT000006) by HarperCollins. Category: Books. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,761.85,749.85,742.54,733.36,739.73,727.73,718.71,706.28,697.83,681.24,638.02
Maybelline Sunscreen (SPF 50) (OPT000007),Beauty,477.09,3.5,https://loremflickr.com/600/600/sunscreen?lock=7,https://www.amazon.in/dp/OPT000007?tag=opticart,"Maybelline Sunscreen (SPF 50) (OPT000007) by Maybelline. Category: Beauty. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,480.32,488.35,485.48,494.83,508.8,498.27,503.69,508.52,504.92,508.01,524.69
Urban Ladder Bed Storage (OPT000008),Furniture,27498.66,3.7,https://loremflickr.com/600/600/bed?lock=8,https://www.amazon.in/dp/OPT000008?tag=opticart,"Urban Ladder Bed Storage (OPT000008) by Urban Ladder. Category: Furniture. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,26465.35,26045.81,25713.11,26165.42,26276.58,25715.07,25740.15,24796.62,24820.24,24892.0,24029.63
Nintendo Gaming Headset 8828 Wireless (OPT000009),Gaming,41395.45,4.1,https://loremflickr.com/600/600/gaming-headset?lock=9,https://www.amazon.in/dp/OPT000009?tag=opticart,"Nintendo Gaming Headset 8828 Wireless (OPT000009) by Nintendo. Category: Gaming. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,39641.71,39892.39,40932.2,40252.03,41301.06,41150.64,40677.43,42158.42,42256.46,43125.08,45108.54
Tata Tea (2kg) (OPT000010),Groceries,2346.7,3.8,https://loremflickr.com/600/600/tea?lock=10,https://www.amazon.in/dp/OPT000010?tag=opticart,"Tata Tea (2kg) (OPT000010) by Tata. Category: Groceries. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,2358.49,2333.43,2370.43,2423.36,2437.92,2433.07,2433.6,2480.25,2436.94,2461.68,2514.6
Xiaomi Redmi Note 13 6GB/64GB 5G (OPT000011),Mobiles,52302.39,4.4,https://loremflickr.com/600/600/smartphone?lock=11,https://www.amazon.in/dp/OPT000011?tag=opticart,"Xiaomi Redmi Note 13 6GB/64GB 5G (OPT000011) by Xiaomi. Category: Mobiles. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,52863.41,53680.52,53892.79,53623.41,54172.09,55916.72,57080.73,57656.85,56686.24,59876.59,63718.02
Dell Inspiron 15 Ryzen 5 16GB/1024GB (OPT000012),Laptops,82264.38,4.5,https://loremflickr.com/600/600/laptop?lock=12,https://www.amazon.in/dp/OPT000012?tag=opticart,"Dell Inspiron 15 Ryzen 5 16GB/1024GB (OPT000012) by Dell. Category: Laptops. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,83119.61,82941.77,85687.47,85549.36,84926.58,85079.34,85819.15,84504.0,84189.14,82716.21,83417.44
Puma Watch Sports (OPT000013),Fashion,9051.84,3.9,https://loremflickr.com/600/600/watch?lock=13,https://www.amazon.in/dp/OPT000013?tag=opticart,"Puma Watch Sports (OPT000013) by Puma. Category: Fashion. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,9094.6,9179.2,9075.11,8986.93,9183.08,9199.58,8920.06,8969.16,8980.48,8774.37,8648.44
Philips Monitor Dolby (OPT000014),Electronics,19058.15,3.9,https://loremflickr.com/600/600/television?lock=14,https://www.amazon.in/dp/OPT000014?tag=opticart,"Philips Monitor Dolby (OPT000014) by Philips. Category: Electronics. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,19952.57,19882.87,20075.32,19752.91,19568.97,19971.42,19714.07,19476.29,19466.28,19112.79,18799.46
