product_name,category,current_price,rating,image_url,product_url,description,platform,price_day_1,price_day_2,price_day_3,price_day_4,price_day_5,price_day_6,price_day_7,price_day_8,price_day_9,price_day_10,future_price
Apple iPhone 13 6GB/256GB AMOLED (OPT000001),Mobiles,24426.49,4.6,https://loremflickr.com/600/600/smartphone?lock=1,https://www.flipkart.com/item/OPT000001?pid=opticart,"Apple iPhone 13 6GB/256GB AMOLED (OPT000001) by Apple. Category: Mobiles. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Flipkart,25073.88,24838.07,24570.8,24397.58,24580.32,24488.1,25346.07,25034.58,24621.94,24905.76,24948.21
Apple MacBook Air M2 M3 16GB/256GB (OPT000002),Laptops,51826.94,4.2,https://loremflickr.com/600/600/laptop?lock=2,https://www.flipkart.com/item/OPT000002?pid=opticart,"Apple MacBook Air M2 M3 16GB/256GB (OPT000002) by Apple. Category: Laptops. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Flipkart,51421.54,51446.7,51056.17,49046.36,49112.12,48237.59,49033.13,49671.96,50155.06,49403.94,48888.41
Adidas Jeans Oversized Polyester (OPT000003),Fashion,12363.29,4.9,https://loremflickr.com/600/600/jeans?lock=3,https://www.flipkart.com/item/OPT000003?pid=opticart,"Adidas Jeans Oversized Polyester (OPT000003) by Adidas. Category: Fashion. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Flipkart,12369.36,12332.97,12058.62,12140.55,12132.32,11996.69,12090.79,12179.31,12073.8,12146.31,11950.23
JBL Toner Cartridge 4K (OPT000004),Electronics,68760.11,4.2,https://loremflickr.com/600/600/printer?lock=4,https://www.flipkart.com/item/OPT000004?pid=opticart,"JBL Toner Cartridge 4K (OPT000004) by JBL. Category: Electronics. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Flipkart,67332.56,66580.72,65907.19,67417.13,68422.54,68922.78,72365.75,72330.64,73003.7,73340.53,78311.25
LG Air Conditioner 8kg Frost Free (OPT000005),Home Appliances,76637.29,4.1,https://loremflickr.com/600/600/air-conditioner?lock=5,https://www.flipkart.com/item/OPT000005?pid=opticart,"LG Air Conditioner 8kg Frost Free (OPT000005) by LG. Category: Home Appliances. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Flipkart,76152.81,75780.78,76028.84,75820.41,74718.22,73697.27,73646.38,74948.02,73629.16,71816.92,69721.56
Atomic Habits (Self-Help) (OPT000006),Books,701.76,4.0,https://loremflickr.com/600/600/book?lock=6,https://www.flipkart.com/item/OPT000006?pid=opticart,"Atomic Habits (Self-Help) (OPT000006) by HarperCollins. Category: Books. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Flipkart,678.59,662.73,660.22,658.42,661.9,665.59,666.96,681.08,671.91,668.66,665.34
Maybelline Sunscreen (SPF 50) (OPT000007),Beauty,493.84,4.4,https://loremflickr.com/600/600/sunscreen?lock=7,https://www.flipkart.com/item/OPT000007?pid=opticart,"Maybelline Sunscreen (SPF 50) (OPT000007) by Maybelline. Category: Beauty. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Flipkart,475.31,474.05,479.57,475.77,483.82,487.22,491.27,487.29,476.55,483.27,482.48
Urban Ladder Bed Storage (OPT000008),Furniture,28381.09,5.0,https://loremflickr.com/600/600/bed?lock=8,https://www.flipkart.com/item/OPT000008?pid=opticart,"Urban Ladder Bed Storage (OPT000008) by Urban Ladder. Category: Furniture. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Flipkart,28255.78,28838.68,28416.7,28392.48,27901.96,28227.04,28788.59,28536.34,28484.72,28137.13,28421.13
Nintendo Gaming Headset 8828 Wireless (OPT000009),Gaming,44681.79,4.5,https://loremflickr.com/600/600/gaming-headset?lock=9,https://www.flipkart.com/item/OPT000009?pid=opticart,"Nintendo Gaming Headset 8828 Wireless (OPT000009) by Nintendo. Category: Gaming. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Flipkart,44989.65,44312.26,43502.05,43385.19,42914.77,42898.99,43679.55,43185.92,43795.93,42803.97,41131.86
Tata Tea (2kg) (OPT000010),Groceries,2475.58,4.3,https://loremflickr.com/600/600/tea?lock=10,https://www.flipkart.com/item/OPT000010?pid=opticart,"Tata Tea (2kg) (OPT000010) by Tata. Category: Groceries. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Flipkart,2532.71,2522.71,2496.02,2482.34,2477.62,2479.33,2503.0,2506.01,2517.49,2472.04,2452.56
