product_id,product_name,category,brand,amazon_price,flipkart_price,lowest_price,amazon_rating,flipkart_rating,amazon_reviews,flipkart_reviews,delivery_days_amazon,delivery_days_flipkart,stock_status,image_url,amazon_url,flipkart_url,description,ai_score,ai_recommendation,future_price_prediction,discount_percentage,price_day_1,price_day_2,price_day_3,price_day_4,price_day_5,price_day_6,price_day_7,price_day_8,price_day_9,price_day_10,trend,popularity_score,search_count,purchase_count,last_updated
OPT-000001,Apple iPhone 13 6GB/256GB AMOLED (OPT000001),Mobiles,Apple,23326.43,24426.49,23326.43,3.9,4.6,11843,12741,1,4,In Stock,https://loremflickr.com/600/600/smartphone?lock=1,https://www.amazon.in/dp/OPT000001?tag=opticart,https://www.flipkart.com/item/OPT000001?pid=opticart,"Apple iPhone 13 6GB/256GB AMOLED (OPT000001) by Apple. Category: Mobiles. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",58,WAIT,21715.91,4.5,22760.39,22898.36,22544.99,22285.41,22175.3,21669.93,21359.36,21528.86,21414.07,22051.92,STABLE,74,64443,15531,2026-06-03 19:59:51
OPT-000002,Apple MacBook Air M2 M3 16GB/256GB (OPT000002),Laptops,Apple,54139.87,51826.94,51826.94,4.0,4.2,1623,2963,2,4,Limited Stock,https://loremflickr.com/600/600/laptop?lock=2,https://www.amazon.in/dp/OPT000002?tag=opticart,https://www.flipkart.com/item/OPT000002?pid=opticart,"Apple MacBook Air M2 M3 16GB/256GB (OPT000002) by Apple. Category: Laptops. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",62,WAIT,56653.57,4.37,50924.75,50758.04,52052.13,50959.68,52267.76,51954.43,52390.36,52693.69,53991.79,54196.51,UP,81,65493,16336,2026-06-06 19:59:51
OPT-000003,Adidas Jeans Oversized Polyester (OPT000003),Fashion,Adidas,11848.11,12363.29,11848.11,4.3,4.9,994,2824,2,7,In Stock,https://loremflickr.com/600/600/jeans?lock=3,https://www.amazon.in/dp/OPT000003?tag=opticart,https://www.flipkart.com/item/OPT000003?pid=opticart,"Adidas Jeans Oversized Polyester (OPT000003) by Adidas. Category: Fashion. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",60,PRICE MAY DROP,10641.61,4.17,11534.08,11256.72,11512.23,11387.08,11287.53,11038.9,10839.88,10983.77,10736.46,10983.05,DOWN,92,76603,6765,2026-06-05 19:59:51
OPT-000004,JBL Toner Cartridge 4K (OPT000004),Electronics,JBL,62693.46,68760.11,62693.46,4.0,4.2,16720,3505,1,5,In Stock,https://loremflickr.com/600/600/printer?lock=4,https://www.amazon.in/dp/OPT000004?tag=opticart,https://www.flipkart.com/item/OPT000004?pid=opticart,"JBL Toner Cartridge 4K (OPT000004) by JBL. Category: Electronics. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",61,PRICE MAY DROP,57056.89,8.82,61867.3,61372.41,59964.78,60240.41,58938.85,58367.1,58414.63,58475.94,58774.21,58746.22,DOWN,88,132987,19362,2026-05-26 19:59:51
OPT-000005,LG Air Conditioner 8kg Frost Free (OPT000005),Home Appliances,LG,73143.11,76637.29,73143.11,4.2,4.1,620,13134,10,4,In Stock,https://loremflickr.com/600/600/air-conditioner?lock=5,https://www.amazon.in/dp/OPT000005?tag=opticart,https://www.flipkart.com/item/OPT000005?pid=opticart,"LG Air Conditioner 8kg Frost Free (OPT000005) by LG. Category: Home Appliances. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",63,WAIT,75958.34,4.56,74884.27,73488.17,73145.09,75218.08,76403.79,76574.82,76399.95,75758.68,75120.89,75303.88,STABLE,90,5267,334,2026-05-25 19:59:51
OPT-000006,Atomic Habits (Self-Help) (OPT000006),Books,HarperCollins,760.58,701.76,701.76,3.9,4.0,5816,2511,5,2,In Stock,https://loremflickr.com/600/600/book?lock=6,https://www.amazon.in/dp/OPT000006?tag=opticart,https://www.flipkart.com/item/OPT000006?pid=opticart,"Atomic Habits (Self-Help) (OPT000006) by HarperCollins. Category: Books. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",63,WAIT,743.34,7.73,701.7,706.94,699.03,720.17,723.99,722.98,737.24,740.31,739.99,731.6,UP,83,69033,4437,2026-05-25 19:59:51
OPT-000007,Maybelline Sunscreen (SPF 50) (OPT000007),Beauty,Maybelline,477.09,493.84,477.09,3.5,4.4,9187,9022,4,5,In Stock,https://loremflickr.com/600/600/sunscreen?lock=7,https://www.amazon.in/dp/OPT000007?tag=opticart,https://www.flipkart.com/item/OPT000007?pid=opticart,"Maybelline Sunscreen (SPF 50) (OPT000007) by Maybelline. Category: Beauty. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",67,WAIT,453.04,3.39,475.85,470.8,469.41,473.57,469.68,457.74,468.66,459.23,461.87,458.87,STABLE,70,115193,7543,2026-06-06 19:59:51
OPT-000008,Urban Ladder Bed Storage (OPT000008),Furniture,Urban Ladder,27498.66,28381.09,27498.66,3.7,5.0,4588,16868,8,6,In Stock,https://loremflickr.com/600/600/bed?lock=8,https://www.amazon.in/dp/OPT000008?tag=opticart,https://www.flipkart.com/item/OPT000008?pid=opticart,"Urban Ladder Bed Storage (OPT000008) by Urban Ladder. Category: Furniture. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",58,WAIT,26972.34,3.14,27778.0,28281.73,27479.23,27984.95,27922.26,28389.83,28075.1,27983.43,27833.27,27077.81,STABLE,79,46906,3961,2026-06-03 19:59:51
OPT-000009,Nintendo Gaming Headset 8828 Wireless (OPT000009),Gaming,Nintendo,41395.45,44681.79,41395.45,4.1,4.5,14851,9888,8,7,In Stock,https://loremflickr.com/600/600/gaming-headset?lock=9,https://www.amazon.in/dp/OPT000009?tag=opticart,https://www.flipkart.com/item/OPT000009?pid=opticart,"Nintendo Gaming Headset 8828 Wireless (OPT000009) by Nintendo. Category: Gaming. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",78,PRICE MAY DROP,37204.16,7.35,40978.4,41941.41,41163.14,40290.29,40119.0,39498.47,39342.23,37818.98,37689.24,38708.47,DOWN,78,92490,20242,2026-05-26 19:59:51
OPT-000010,Tata Tea (2kg) (OPT000010),Groceries,Tata,2346.7,2475.58,2346.7,3.8,4.3,7919,376,2,1,In Stock,https://loremflickr.com/600/600/tea?lock=10,https://www.amazon.in/dp/OPT000010?tag=opticart,https://www.flipkart.com/item/OPT000010?pid=opticart,"Tata Tea (2kg) (OPT000010) by Tata. Category: Groceries. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",65,WAIT,2375.27,5.21,2377.67,2392.5,2366.38,2347.06,2369.97,2365.14,2347.32,2358.64,2361.98,2339.71,STABLE,51,3607,579,2026-06-01 19:59:51
